"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Multilayer Perceptron Approach to Detecting Mental Health Conditions from Music Preferences","M. A. H. A. Holidin; N. S. M. Nafis; M. N. F. M. Nasir; N. H. Ismail; A. F. A. Nasir","Faculty of Computing, University Malaysia Pahang Al-Sultan Abdullah, Pekan, Pahang, Malaysia; Faculty of Computing, University Malaysia Pahang Al-Sultan Abdullah, Pekan, Pahang, Malaysia; Faculty of Computing, University Malaysia Pahang Al-Sultan Abdullah, Pekan, Pahang, Malaysia; Faculty of Computing, University Malaysia Pahang Al-Sultan Abdullah, Pekan, Pahang, Malaysia; Faculty of Computing, University Malaysia Pahang Al-Sultan Abdullah, Pekan, Pahang, Malaysia",2025 IEEE 9th International Conference on Software Engineering & Computer Systems (ICSECS),"12 Jan 2026","2025","","","254","257","Early identification of mental health disorders is essential to allow timely interventions and improve overall wellbeing. This study explores the potential of using Machine Learning (ML) to detect mental health conditions, specifically depression, anxiety, insomnia, and Obsessive Compulsive Disorder (OCD), based on individual preferences of the music genre. The dataset containing anonymized music listening behavior and self-reported mental health statuses was collected and preprocessed. Four ML classifiers, K-Nearest Neighbors (KNN), Naive Bayes (NB), Random Forest (RF), and Multilayer Perceptron (MLP), were used and evaluated using 10-fold cross-validation and an 80:20 train-test split. The experimental results indicated that MLP produced the highest classification accuracy for depression is $\mathbf{5 8 \%}$ and anxiety is $\mathbf{6 0 \%}$, while NB demonstrated superior performance in detecting OCD with $\mathbf{8 1 \%}$ of accuracy and insomnia with $\mathbf{6 6 \%}$ accuracy value. These results highlight the feasibility of using music preferences as noninvasive indicators for mental health screening. Future research should aim to incorporate heterogeneous data sources and conduct clinical validation to enhance the accuracy and reliability of the proposed approach.","","979-8-3315-4441-6","10.1109/ICSECS65227.2025.11279122","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11279122","Music Genre;Mental Health;Machine Learning;Deep Learning","Radio frequency;Surveys;Video games;Accuracy;Anxiety disorders;Music;Mental health;Nearest neighbor methods;Multilayer perceptrons;Depression","","","","14","IEEE","12 Jan 2026","15-16 Oct. 2025","15-16 Oct. 2025","IEEE","IEEE Conferences"
"TMIR: Transient Length Extraction Strategy for ANN-inspired Musical Instrument Recognition","P. Roy; S. Roy; D. De","Dept. of Computer Science and Engineering, Maulana Abul Kalam Azad University of Technology, West Bengal, Kolkata, West Bengal, India; Dept. of Computer Science and Engineering, Maulana Abul Kalam Azad University of Technology, West Bengal, Kolkata, West Bengal, India; Dept. of Computer Science and Engineering, Maulana Abul Kalam Azad University of Technology, West Bengal, Kolkata, West Bengal, India",2020 IEEE International Women in Engineering (WIE) Conference on Electrical and Computer Engineering (WIECON-ECE),"12 Apr 2021","2020","","","267","271","Technology has the profound impact in every sphere and the music industry has not been an exception to this. In this paper, we have illustrated the strategy for extracting a set of distinct features from audio samples based on the frequency domain analysis and shape analysis, which has been entitled as TMIR. From the specific range of frequency, the features have been retrieved that represents the distinct characteristics for individual musical instruments. We have considered the specific frequency range rather than the total frequency spectrum. The analyzed characteristics have been extracted by searching the onset position and maximum value of the frequency of transient length. We have trained Artificial Neural Network-based model using Normalized input data that have successfully been capable for identifying different types of musical instruments and has an accuracy rate of ~96.47%. To achieve higher performance, a new paradigm has additionally been implemented by modifying the position of onset of true fixed transient length and consequently the final accuracy rate of ~98.22% has been achieved.","","978-1-6654-1917-8","10.1109/WIECON-ECE52138.2020.9398035","University Grants Commission; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9398035","Machine Learning;Artificial Neural Network;Onset;Transient Length;Computational Musicology;Instrument Recognition","Industries;Shape;Instruments;Frequency-domain analysis;Music;Feature extraction;Transient analysis","","4","","15","IEEE","12 Apr 2021","26-27 Dec. 2020","26-27 Dec. 2020","IEEE","IEEE Conferences"
"PRSF: Pitched-Noise-Robust Score Following Based on Multimodal Learning","Z. Lian; H. Cheng; S. Liu; J. Zhang","College of Intelligence and Computing, Tianjin University, Tianjin, China; State Key Laboratory of Media Convergence and Communication, Communication University of China, Beijing, China; School of Information and Communication Engineering, Communication University of China, Beijing, China; College of Intelligence and Computing, Tianjin University, Tianjin, China","IEEE Transactions on Audio, Speech and Language Processing","2 Jun 2025","2025","33","","2084","2097","Score following is an important task in the field of music information retrieval, which maps the real-time audio input of a musical performance to the corresponding musical score. In the real practice of score following, due to imperfect audio capture or the difficulty of digital score acquisition, the input audio may contain other pitched sounds beyond the score, such as background accompaniment or the sounds of other musical instruments in an ensemble. However, existing methods are limited in resisting this kind of noise, which may lead to unstable score following for the target instrument. To address this issue, this paper proposes a pitched-noise-robust score following (PRSF) method based on a cyclic feedback and early fusion mechanism that cyclically connects traditional and deep models. First, a joint local pitch inference (JLPI) deep model is proposed to address the problem that traditional models have difficulty in discriminating the target sound source under pitched noise. This model is designed to infer the pitch of the target instrument based on multimodal learning, which is accompanied by a specially designed training strategy. Second, in order to sufficiently utilize the audio and score information and achieve robust score following, a hidden Markov model (HMM)-based score position inference model is introduced. For the first time, our PRSF method solves the score following task in orchestral performance scenarios where only the score of the target musical instrument is informed. Using cross-dataset evaluation, our proposed method achieves an align rate of 75.5% within a threshold of 300 ms under the pitched noise environment of orchestral music.","2998-4173","","10.1109/TASLPRO.2025.3571294","Key R&D Project of Hunan Province China(grant numbers:2023SK2064); National Natural Science Foundation of China(grant numbers:62172295,62201524); Fundamental Research Funds for the Central Universities(grant numbers:CUC25CGJ01); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11008909","Score following;audio-to-score alignment;multimodal learning;hidden Markov model (HMM);music information retrieval","Hidden Markov models;Noise;Instruments;Music;Training;Speech processing;Real-time systems;Heuristic algorithms;Reverberation;Music information retrieval","","","","43","IEEE","22 May 2025","2025","","IEEE","IEEE Journals"
"Segment Transformer: AI-Generated Music Detection via Music Structural Analysis","Y. Kim; S. Go",MIPPIA Inc.; MIPPIA Inc.,2025 Asia Pacific Signal and Information Processing Association Annual Summit and Conference (APSIPA ASC),"28 Nov 2025","2025","","","664","669","Audio and music generation systems have been remarkably developed in the music information retrieval (MIR) research field. The advancement of these technologies raises copyright concerns, as ownership and authorship of AI-generated music (AIGM) remain unclear. Also, it can be difficult to determine whether a piece was generated by AI or composed by humans clearly. To address these challenges, we aim to improve the accuracy of AIGM detection by analyzing the structural patterns of music segments. Specifically, to extract musical features from short audio clips, we integrated various pre-trained models, including self-supervised learning (SSL) models or an audio effect encoder, each within our suggested transformerbased framework. Furthermore, for long audio, we developed a segment transformer that divides music into segments and learns inter-segment relationships. We used the FakeMusicCaps and SONICS datasets, achieving high accuracy in both the short-audio and full-audio detection experiments. These findings suggest that integrating segment-level musical features into long-range temporal analysis can effectively enhance both the performance and robustness of AIGM detection systems.","2640-0103","979-8-3315-7206-8","10.1109/APSIPAASC65261.2025.11249059","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11249059","","Accuracy;Music;Computer architecture;Self-supervised learning;Information processing;Transformers;Feature extraction;Robustness;Multiple signal classification;Music information retrieval","","","","39","IEEE","28 Nov 2025","22-24 Oct. 2025","22-24 Oct. 2025","IEEE","IEEE Conferences"
"An Effective Machine Learning Approach for Music Genre Classification with Mel Spectrograms and KNN","M. N. Alam Siddiquee; M. A. Hossain; F. Wahida","Department of Computer Science and Engineering, Rajshahi University of Engineering and Technology, Rajshahi, Bangladesh; Department of Computer Science and Engineering, Rajshahi University of Engineering and Technology, Rajshahi, Bangladesh; Department of Computer Science and Engineering, Rajshahi University of Engineering and Technology, Rajshahi, Bangladesh","2023 International Conference on Communication, Circuits, and Systems (IC3S)","7 Jul 2023","2023","","","1","4","The automatic classification of musical genre is extremely useful in the indexing of music. In the area of music information retrieval (MIR), categorizing music files based on their genre is commonly a subjective task performed by humans. Our study develops a classifier to predict the genre of audio files. GTZAN genre classification dataset was used to extract important features from audio files. We implemented a K-Nearest Neighbor (KNN) and have chosen a value of k as 2, 5, and 10. With KNN, the best performance was achieved with the value of k=10. The proposed feature extraction and classification models end up with better accuracy in musical genre classification.","","979-8-3503-2590-4","10.1109/IC3S57698.2023.10169397","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10169397","Feature Extraction;GTZAN Dataset;K- nearest neighbor (KNN)","Machine learning algorithms;Music;Training data;Machine learning;Feature extraction;Classification algorithms;Recording","","6","","17","IEEE","7 Jul 2023","26-28 May 2023","26-28 May 2023","IEEE","IEEE Conferences"
"Music Generation and Key Standardization Using LSTM Model","Z. Kun; S. R. A. L. Sindiramutty; N. H. B. Bakar; N. Jhanjhi; F. Ashfaq","School of Computer Science, Taylor's University, Subang Jaya, Malaysia; School of Computer Science, Taylor's University, Subang Jaya, Malaysia; School of Computer Science, Taylor's University, Subang Jaya, Malaysia; School of Computer Science, Taylor's University, Subang Jaya, Malaysia; School of Computer Science, Taylor's University, Subang Jaya, Malaysia",2025 International Conference on Emerging Trends in Networks and Computer Communications (ETNCC),"23 Dec 2025","2025","","","695","700","Music is one of the most popular and emotionally powerful art forms, valued for entertainment, therapy, and even medical applications such as anxiety treatment. Advances in computer-assisted music creation, especially deep learning, have made automated music generation a significant research focus. This research develops a system that combines Long ShortTerm Memory (LSTM) networks, attention mechanisms, and temperature sampling to produce music that is both emotionally rich and structurally coherent. LSTM networks handle musical sequences and long-range dependencies, while attention mechanisms highlight important parts of the sequence. Temperature sampling introduces controlled randomness to enhance diversity. The system processes MIDI data using the Octuple representation, enabling simultaneous handling of pitch, velocity, duration, and other musical attributes for optimal generation. The workflow involves preparing music datasets, analyzing MIDI files, and producing new compositions. Experiments showed that the Transformer model achieved the highest AUC (0.89) and lowest perplexity (45.89), while the LSTM + Attention model offered more stable training and efficient generation, confirming the benefits of dataset standardization to $\mathbf{C}$ major.","","979-8-3315-2565-1","10.1109/ETNCC66224.2025.11299766","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11299766","Deep Learning;Music Generation;Key Standardization;Long Short Term Memory Networks","Training;Deep learning;Attention mechanisms;Computational modeling;Music;Medical treatment;Standardization;Transformers;Temperature control;Long short term memory","","","","25","IEEE","23 Dec 2025","5-7 Aug. 2025","5-7 Aug. 2025","IEEE","IEEE Conferences"
"Inspecting Deep Learning Techniques for Music Transcription","S. P. Sakthidevi; C. Divya","Centre for Information Technology and Engineering, Manonmaniam Sundaranar University, Tirunelveli, Tamil Nadu, India; Centre for Information Technology and Engineering, Manonmaniam Sundaranar University, Tirunelveli, Tamil Nadu, India",2025 IEEE International Conference on Intelligent Signal Processing and Effective Communication Technologies (INSPECT),"28 Jan 2026","2025","","","1","6","Music Transcription describes the procedure of transforming audio recordings into symbolic formats such as musical notation or scores. This survey explores key methodologies and architectures of symbolic representations, with a focus on feature extraction and deep learning techniques. It begins with rhythm-based and jSymbolic features, followed by advanced frameworks like PiRhDy, MusicBERT, MIDI2vec, and MusicAOG that enhance symbolic music understanding. A comparative analysis of CNN, DNN, and GNN highlights their respective performance and strengths, while RNN are recognized for capturing temporal dependencies and hierarchical structures. Transformer-based models are discussed in terms of optimization strategies, and diffusion techniques are analyzed. Hybrid models that integrate multiple architectures are also reviewed. Core transcription tasks pitch detection, onset/offset estimation, and polyphonic transcription are emphasized for their foundational role. Lastly, the survey covers key datasets and tools essential for benchmarking and advancing symbolic transcription. The observations herein are intended for a wide audience of researchers, engineers, musicians, educators, and music technology developers among others.","","979-8-3315-5349-4","10.1109/INSPECT67393.2025.11350357","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11350357","Features;CNN;RNN;DNN;GNN;Transformer;Diffusion","Surveys;Deep learning;Analytical models;Music;Estimation;Transformer cores;Benchmark testing;Signal processing;Transformers;Feature extraction","","","","34","IEEE","28 Jan 2026","7-8 Nov. 2025","7-8 Nov. 2025","IEEE","IEEE Conferences"
"On Using Artificial Intelligence to Predict Music Playlist Success","R. Cavicchioli; J. C. Hu; M. Furini","Department of Communication and Economics, University of Modena and Reggio, Emilia, Italy; Department of Physics, Informatics and Mathematics, University of Modena and Reggio, Emilia, Italy; Department of Communication and Economics, University of Modena and Reggio, Emilia, Italy",2024 IEEE 21st Consumer Communications & Networking Conference (CCNC),"18 Mar 2024","2024","","","278","283","The emergence of digital music platforms has fundamentally transformed the way we engage with and organize music. As playlist creation has gained widespread popularity, there is an increasing desire among music aficionados and industry experts to comprehend the factors that drive playlist success. This paper presents a machine learning-based approach designed to predict the success of music playlists. By analyzing various musical characteristics of songs, our model achieves an impressive accuracy of 89.6% in predicting playlist success. Notably, it exhibits a remarkable 92.0% accuracy in forecasting the success of popular playlists, while also effectively identifying unpopular playlists with an accuracy of 89.4%. These findings provide invaluable insights into playlist creation, ultimately enhancing the overall music-listening experience. By harnessing the power of machine learning, our proposed approach unlocks new prospects for optimizing playlist design strategies and delivering personalized music recommendations. This has significant ramifications for music enthusiasts and industry professionals seeking to elevate playlist creation and enrich the music consumption experience.","2331-9860","979-8-3503-0457-2","10.1109/CCNC51664.2024.10454829","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10454829","Music Playlist;LSTM;DNN;pre-training;deep learning","Industries;Analytical models;Music;Machine learning;Learning (artificial intelligence);Predictive models;Forecasting","","3","","24","IEEE","18 Mar 2024","6-9 Jan. 2024","6-9 Jan. 2024","IEEE","IEEE Conferences"
"Bengali Music Genre Classification Using WaveNet","M. N. R. Khan; K. I. J. Tuli; M. S. Salsabil; S. M. R. Reza; F. M. Shah; S. K. S. Joy","Department of Computer Science and Engineering, Ahsanullah University of Science and Technology, Dhaka, Bangladesh; Department of Computer Science and Engineering, Ahsanullah University of Science and Technology, Dhaka, Bangladesh; Department of Computer Science and Engineering, Ahsanullah University of Science and Technology, Dhaka, Bangladesh; Department of Computer Science and Engineering, Ahsanullah University of Science and Technology, Dhaka, Bangladesh; Department of Computer Science and Engineering, Ahsanullah University of Science and Technology, Dhaka, Bangladesh; Department of Computer Science and Engineering, Ahsanullah University of Science and Technology, Dhaka, Bangladesh",2023 26th International Conference on Computer and Information Technology (ICCIT),"27 Feb 2024","2023","","","1","6","Music genre classification plays a crucial role in music recommendation and information retrieval. While there have been numerous studies on classifying genres of English music using various machine learning approaches, there is a noticeable absence of similar work for Bangla music classification. Bangla music encompasses a wide range of types and styles that can be classified into different genres. In this research, we focus on six distinct Bangla music genres, including ’Bangla Adhunik,’ ’Bangla Hip-Hop,’ ’Bangla Band Music,’ ’Nazrulgeeti,’ ’Palligeeti,’ and ’Rabindra Sangeet.’ Our dataset consists of 250-300 songs (in .MP3 format) for each genre. By comparing the performances of different models, we demonstrate that our proposed model, using a combination of Principal Component Analysis and K-Fold on the model WaveNet, achieves high accuracy in the multiclass classification of Bangla music genres by comparing with other machine learning and deep learning. This work contributes to the advancement of music genre classification specifically for Bangla music and paves the way for enhanced music recommendation systems and information retrieval in this rich musical tradition.","","979-8-3503-5901-5","10.1109/ICCIT60459.2023.10441498","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10441498","","Analytical models;Music;Information retrieval;Information technology;Recommender systems;Digital audio players;Principal component analysis","","2","","16","Crown","27 Feb 2024","13-15 Dec. 2023","13-15 Dec. 2023","IEEE","IEEE Conferences"
"Instrument Independent Chord Recognition Using Lossless-to-Lossy Transcoding in Homophonic Audio Signals","G. P. Antido; M. D. M. Bisac; K. E. T. Viernes; J. P. A. Acang","Department of Computer Science, Mariano Marcos State University, City of Batac, Ilocos Norte, Philippines; Department of Computer Science, Mariano Marcos State University, City of Batac, Ilocos Norte, Philippines; Department of Computer Science, Mariano Marcos State University, City of Batac, Ilocos Norte, Philippines; Department of Computer Science, Mariano Marcos State University, City of Batac, Ilocos Norte, Philippines","2024 IEEE 16th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment, and Management (HNICEM)","3 Dec 2025","2024","","","1","5","Chord recognition is a computationally demanding and time-consuming procedure that demands music-theoretical expertise. This science includes a variety of potential applications that can be used in the multidisciplinary field of Music Information Retrieval. Every chord recognition system starts with the use of an audio signal as an input to generate output chord sequences. Due to the complexity of the signal structure, musical instruments when played simultaneously can easily introduce ambiguities that will affect predictions. In this work, we propose an approach that will address the instrument dependency of chord recognizers using lossless-to-lossy transcoding. This approach aims to achieve correct chord predictions regardless of the instrument used in the homophonic audio signals and to prove that chord signals can be profiled using their frequency signature without any additional overhead in the computing requirements. The proposed method employs an algorithm based on ensemble-based learning. This approach uses a chord recognizer that was trained using plain chord recordings from different instruments and was evaluated on actual music recordings with vocals and mixed instrument signals. The proposed approach was able to achieve significant performance improvements in the test dataset outperforming its deep-learning counterparts. This proves that chord signals can be profiled without introducing additional computing resources in the process.","2770-0682","979-8-3315-0816-6","10.1109/HNICEM64917.2024.11258721","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11258721","Audio Transcription;Chord Recognition;Instruments;Music;Signal Processing;Transcoding","Deep learning;Training;Instruments;Computational modeling;Transcoding;Recording;Multiple signal classification;Complexity theory;Time complexity;Testing","","","","15","IEEE","3 Dec 2025","26-29 Nov. 2024","26-29 Nov. 2024","IEEE","IEEE Conferences"
"AI-Assisted Music Therapy Intervention for Alleviating Exam Anxiety in University Students: System Design, Implementation, and Efficacy Evaluation","X. Song; J. Zheng; J. He","Xiamen Academy of Arts & Design Fuzhou University, Xiamen, China; School of Artificial Intelligence Xiamen Institute of Technology, Xiamen, China; Xiamen Academy of Arts & Design Fuzhou University, Xiamen, China",2025 IEEE/IEIE International Conference on Consumer Electronics-Asia (ICCE-Asia),"4 Dec 2025","2025","","","1","5","Exam anxiety is a prevalent concern among university students, adversely affecting their academic performance, mental health, and overall well-being. This study investigates the efficacy of an AI-assisted music therapy intervention specifically designed to alleviate anxiety during exam periods. We conducted a single-blind randomized controlled trial involving 150 participants, wherein the intervention group received personalized music playlists generated in real-time based on facial emotion recognition data. In contrast, the control group engaged in passive listening to pre-defined playlists that lacked personalization. The primary outcome was assessed using the Generalized Anxiety Disorder-7 (GAD-7) scale, which participants completed both before and after the intervention. Statistical analysis revealed a significant reduction in GAD-7 scores for the intervention group (Mean: 6.0, SD: 2.4) compared to the control group (Mean: 11.5, SD: 2.2), resulting in a large effect size (Cohen’s d=1.9). Participants in the intervention group also reported enhanced emotional engagement and satisfaction during their sessions. These findings suggest that AI-assisted music therapy is not only effective in reducing exam anxiety but also highlights the potential for using technology to create personalized therapeutic experiences. This innovative approach can be an important contribution to mental health strategies aimed at supporting students during critical academic periods, paving the way for future research in the field of digital therapeutics.","","979-8-3315-7402-4","10.1109/ICCE-Asia67487.2025.11263548","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11263548","Artificial intelligence;music therapy;exam anxiety;affective computing","Emotion recognition;Statistical analysis;Anxiety disorders;Medical treatment;Mental health;Transforms;Transformers;Real-time systems;Usability;System analysis and design","","","","20","IEEE","4 Dec 2025","27-29 Oct. 2025","27-29 Oct. 2025","IEEE","IEEE Conferences"
"1D CNN-Based Traditional Instrument Classification and Notation Generation in Sinhala for Gataberaya and Flute","P. G. R. Dulmi; B. Hettige","Department of Computational Mathematics, General Sir John Kotelawala Defence University, Colombo, Sri Lanka; Department of Computer Engineering, General Sir John Kotelawala Defence University, Colombo, Sri Lanka",2024 8th SLAAI International Conference on Artificial Intelligence (SLAAI-ICAI),"20 Jan 2025","2024","","","1","6","Applications for traditional musical instruments from Sri Lanka have not received enough attention, even with the progress in machine learning. This paper presents a novel method for categorizing and transcribing notations for the flute and gataberaya which is an indigenous drum from Sri Lanka using deep learning methods. Based on a manually recorded audio recording dataset with 168 flute recordings and 81 gataberaya recordings with varying lengths and single-noted, 1D Convolutional Neural Networks were used to construct a classification model. The system also generates musical notations from audio recordings using an algorithm and converts Western musical notation to Sinhala musical notations using a prompt with a Large Language Model API call. The methodology includes data augmentation for raw data and feature extraction with Mel Frequency Cepstral Coefficients, and frequency analysis using the Fast Fourier Transform. The classification model achieved 88.71% training accuracy and 91.16% validation accuracy, successfully identifying instrument types, and the notation generation for the flute shows effectiveness by correctly recognizing the notes and the relative octave of the frequency. However, challenges remain for unpitched instruments like the Gataberaya due to the limited dataset. This approach acts as a valuable tool for the preservation of Sri Lankan traditional music.","","979-8-3315-0917-0","10.1109/SLAAI-ICAI63667.2024.10844945","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10844945","1D CNN;Music Transcription;Sinhala Musical Notation;Deep Learning;Large Language Model","Training;Accuracy;Fast Fourier transforms;Instruments;Music;Audio recording;Feature extraction;Data augmentation;Convolutional neural networks;Mel frequency cepstral coefficient","","","","13","IEEE","20 Jan 2025","18-19 Dec. 2024","18-19 Dec. 2024","IEEE","IEEE Conferences"
"Stacked-KBR: An Ensemble Method for Analyzing YouTube Bangla Song Reviews Using a Novel Dataset","M. S. Islam; A. N. Khan; D. D. Dev; M. Raihan; S. Al Mubid; M. S. Mostafa","Department of Computer Science and Engineering, North Western University, Khulna, Bangladesh; Department of Computer Science and Engineering, North Western University, Khulna, Bangladesh; Department of Computer Science and Engineering, North Western University, Khulna, Bangladesh; Department of Computer Science and Engineering, North Western University, Khulna, Bangladesh; Department of Computer Science and Engineering, North Western University, Khulna, Bangladesh; Department of Computer Science and Engineering, North Western University, Khulna, Bangladesh",2024 27th International Conference on Computer and Information Technology (ICCIT),"10 Jun 2025","2024","","","1522","1527","Song review analysis is very crucial in every language due to its widespread use in the cinema and music industry. The success of many movies depends on having some hit and blockbuster songs in the movie. From this one can understand the importance of developing automated methods for analyzing song reviews. This work is devoted to deploying a method for YouTube Bangla song review analysis by developing a new dataset of 43,264 comments annotated as either positive or negative, covering over 100 songs and 15 music genres which is publicly available in the repository https://github.com/cseku170202/Bangla-Song-Sentiment-Analysis. The prime goal of this investigation is to employ various machine learning algorithms to precisely recognize the sentiments expressed in Bangla song reviews and apply explainable AI to provide explanations. Our empirical study considered several algorithms including the K-Nearest Neighbour (KNN), Bidirectional Long Short-Term Memory (Bi-LSTM), Recurrent Convolutional Network (RCN), and a Stacking ensemble model (Stacked-KBR) which utilizes the previous three models as base classifiers. Among these models, the Stacked-KBR outperformed others with an accuracy of 83.98%. Local Interpretable Model-agnostic Explanation (LIME) and SHapley Additive exPlanation (SHAP) from explainable AI are also considered in this work to observe the reason behind the model’s performance.","2474-9656","979-8-3315-1909-4","10.1109/ICCIT64611.2024.11022399","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11022399","Bangla Dataset;Song Review Analysis;Stacking Ensemble Model;Explainable AI","Industries;Video on demand;Machine learning algorithms;Reviews;Explainable AI;Stacking;Nearest neighbor methods;Motion pictures;Feature extraction;Web sites","","4","","18","IEEE","10 Jun 2025","20-22 Dec. 2024","20-22 Dec. 2024","IEEE","IEEE Conferences"
"The Influence of Digitization on the Dissemination of Traditional Chinese Music and Weibo Content Propagation Under Deep Learning","J. You","School of Music and Dance, Hunan City University, Yiyang, China",IEEE Access,"30 Jan 2024","2024","12","","13870","13877","This study aims to investigate the dissemination of traditional Chinese music in the digital era and the application of deep learning in predicting the influence of Weibo content propagation. Firstly, the impact of digitization on the dissemination of traditional Chinese music is analyzed. Secondly, based on the Bidirectional Gated Recurrent Unit (Bi-GRU), traditional content feature modeling methods are optimized by introducing content text features. Simultaneously, the Graph Attention Network (GAN) is divided into three steps, allowing it to consider the edge properties of input sequences. The improved content feature modeling, GAN, and multilayer perceptron are integrated to construct a Context-dependent Dynamic Graph Attention Network (C-DGAN). In order to validate the performance of the C-DGAN model, Mean Square Logarithmic Error (MSLE) is used as the evaluation metric in comparative experiments at observation times T=1, 2, 3, and 4 hours. The results indicate that at T=4 hours, C-DGAN achieves an MSLE of 1.854, reducing by at least 0.134 compared to the baseline model, demonstrating superior performance in predicting the scale of Weibo content propagation. Additionally, in comparison with models using different recurrent neural networks, the model employing the Bi-GRU network performs the best. Thus, the proposed C-DGAN model exhibits excellent performance in predicting Weibo content propagation influence. The study findings provide robust support for the study and practice of Weibo content propagation.","2169-3536","","10.1109/ACCESS.2024.3357094","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10411876","Weibo propagation influence;deep learning;traditional Chinese music;self-attention mechanism;graph attention network","Blogs;Social networking (online);Deep learning;Cultural differences;Generative adversarial networks;Logic gates;Global communication;Music;Data dissemination;Information exchange","","3","","45","CCBYNCND","22 Jan 2024","2024","","IEEE","IEEE Journals"
"An Instrument Tone Recognition System Based on Artificial Intelligence and Feature Recognition","Z. Hu","School of Music, Zhaoqing University, Zhaoqing City, Guangdong, China",2024 IEEE 2nd International Conference on Image Processing and Computer Applications (ICIPCA),"15 Oct 2024","2024","","","1274","1277","Instrument tone recognition systems have over time had the highest application value and significance in information retrieval. Notably, the traditional systems and methods often rely on convolutional neural networks (CNN) that serve as fundamental through reportedly, have a poor performance. To this effect, this work seeks to examine a resent artificial intelligence (AI) and a feature recognition system in instrument tone recognition. A proposed model in this case is integrated in an interactive system of humanoid robot. The findings of this study reveal that the proposed resent artificial intelligence (AI) and a feature recognition system in the design of an instrument tone recognition system outperforms the traditional model in terms of recognition accuracy and tonal loss rate. The findings of the research therefore providing methods and ideas that may be used in instrument tonal recognition.","","979-8-3503-6024-0","10.1109/ICIPCA61593.2024.10709235","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10709235","Instrument Tone Recognition System;Artificial Intelligence;Feature Recognition;Convolutional Neural networks;Humanoid Robots","Emotion recognition;Image recognition;Accuracy;Instruments;Interactive systems;Information retrieval;Rhythm;Convolutional neural networks;Timbre;Artificial intelligence","","","","12","IEEE","15 Oct 2024","28-30 June 2024","28-30 June 2024","IEEE","IEEE Conferences"
"Towards Automatic Measure-Wise Feature Extraction Pipeline for Music Performance Analysis","M. Ištvánek; Š. Miklánek","Department of Telecommunications, Faculty of Electrical Engineering and Communication, Brno University of Technology, Brno, Czech Republic; Department of Telecommunications, Faculty of Electrical Engineering and Communication, Brno University of Technology, Brno, Czech Republic",2022 45th International Conference on Telecommunications and Signal Processing (TSP),"18 Aug 2022","2022","","","192","195","The task of obtaining ground-truth annotations is of fundamental importance for music performance analysis. Measure positions could be used to navigate throughout the piece, indicate the tempo changes, or help with structure segmentation. In this paper, we introduce an automatic measure-wise feature extraction pipeline. We first annotate one interpretation of the string quartet music and use an audio synchronization strategy to transfer measure positions to all other recordings. We extract features related to tempo, dynamics, and timbre. We compute average values in each measure and propose measure-wise feature matrices. This procedure could be used for any number of recordings as long as at least one reference annotation is available. Finally, we create a binary label for each interpretation based on the Czech origin of performers as an experiment and evaluate the measure-wise tempo distribution.","","978-1-6654-6948-7","10.1109/TSP55681.2022.9851277","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9851277","feature extraction;measures;music information retrieval;music performance analysis;string quartet","Annotations;Pipelines;Position measurement;Feature extraction;Time measurement;Recording;Performance analysis","","","","9","IEEE","18 Aug 2022","13-15 July 2022","13-15 July 2022","IEEE","IEEE Conferences"
